# X 	 Y 	 E 	 DX

0.003075	491.52	3.56779	0.000774446
0.00322875	460.199	2.8403	0.00077627
0.00339019	427.988	2.54493	0.000778277
0.0035597	368.265	2.24487	0.000780484
0.00373768	332.364	1.79003	0.000782909
0.00392457	303.947	1.76557	0.000785575
0.00412079	271.617	1.26243	0.000788503
0.00432683	241.015	1.21806	0.000791719
0.00454318	211.621	0.995943	0.000795249
0.00477033	194.88	0.883888	0.000799123
0.00500885	172.375	0.740682	0.000803373
0.00525929	154.218	0.632839	0.000808032
0.00552226	139.212	0.54785	0.000813138
0.00579837	124.863	0.484661	0.00081873
0.00608829	109.637	0.407139	0.000824851
0.0063927	99.9251	0.342577	0.000831548
0.00671234	88.3597	0.309504	0.000838869
0.00704796	79.5001	0.256756	0.000846868
0.00740035	69.9123	0.225798	0.000855599
0.00777037	62.8057	0.190653	0.000865124
0.00815889	55.5036	0.170666	0.000875504
0.00856683	49.3924	0.141259	0.000886808
0.00899518	43.5104	0.126285	0.000899105
0.00944494	38.8343	0.10697	0.000912471
0.00991718	34.0054	0.0935866	0.000926984
0.010413	30.2281	0.0827123	0.000942725
0.0109337	26.7894	0.0707399	0.000959781
0.0114804	23.5091	0.0612205	0.00097824
0.0120544	20.9026	0.0547008	0.000998196
0.0126571	18.5497	0.0479061	0.00101975
0.01329	16.4526	0.0419791	0.00104299
0.0139545	14.559	0.0381908	0.00106802
0.0146522	12.8418	0.034998	0.00109497
0.0153848	11.4173	0.031343	0.00112392
0.016154	10.2385	0.0284296	0.001155
0.0169617	9.14542	0.0257754	0.00118833
0.0178098	8.25421	0.0233524	0.00122402
0.0187003	7.38134	0.0208322	0.00126219
0.0196353	6.62833	0.0189876	0.00130299
0.0206171	5.99421	0.0173584	0.00134654
0.021648	5.38513	0.0155931	0.00139297
0.0227304	4.84796	0.0142261	0.00144243
0.0238669	4.33401	0.0128458	0.00149506
0.0250602	3.91937	0.011744	0.00155103
0.0263132	3.5307	0.0106112	0.00161047
0.0276289	3.1765	0.00962656	0.00167356
0.0290103	2.83886	0.00874674	0.00174048
0.0304609	2.56098	0.00798246	0.00181138
0.0319839	2.28699	0.0072422	0.00188647
0.0335831	2.05917	0.00697834	0.00196594
0.0352623	1.84889	0.00702551	0.00204998
0.035875	1.78719	0.0136764	0.00208079
0.0370254	1.66997	0.00795927	0.00213881
0.0376688	1.63941	0.012922	0.00217136
0.0388766	1.48475	0.00872345	0.00223266
0.0395522	1.41439	0.0164977	0.00226703
0.0408205	1.31858	0.00926853	0.00233175
0.0415298	1.2345	0.00874395	0.00236803
0.0436063	1.10269	0.00920108	0.00247461
0.0457866	0.992372	0.00685346	0.00258703
0.0480759	0.925533	0.00769869	0.00270557
0.0504797	0.800958	0.00510665	0.00283051
0.0530037	0.707011	0.00490832	0.00296215
0.0556539	0.643247	0.00437068	0.00310082
0.0584366	0.574773	0.00335557	0.00324684
0.0613584	0.500741	0.00320382	0.00340057
0.0644263	0.447805	0.003013	0.00356237
0.0676477	0.401077	0.00235678	0.00373264
0.07103	0.352854	0.002265	0.00391179
0.0745815	0.323773	0.00218765	0.00410023
0.0783106	0.28561	0.00169658	0.00429843
0.0822262	0.248913	0.00155869	0.00450685
0.0863375	0.227682	0.00151148	0.00472599
0.0906543	0.199026	0.00131884	0.00495638
0.0951871	0.177451	0.00120673	0.00519856
0.0999464	0.164104	0.0010883	0.00545311
0.104944	0.145978	0.00101408	0.00572064
0.110191	0.13084	0.000883457	0.00600179
0.1157	0.118218	0.000843911	0.00629722
0.121485	0.107776	0.0007638	0.00660765
0.12756	0.0977431	0.000698956	0.0069338
0.133938	0.0881204	0.000657285	0.00727647
0.140635	0.0807412	0.000586246	0.00763645
0.147666	0.0740296	0.000562415	0.00801461
0.15505	0.0683685	0.000506285	0.00841186
0.162802	0.0654952	0.00048692	0.00882913
0.170942	0.0611189	0.000450446	0.00926743
0.179489	0.0586912	0.000418915	0.00972778
0.188464	0.0566233	0.000401317	0.0102113
0.197887	0.0554116	0.000372343	0.0107191
0.207781	0.0536991	0.000357073	0.0112525
0.21817	0.0525194	0.000331975	0.0118126
0.229079	0.0517378	0.000312587	0.0124009
0.240533	0.0513189	0.000306145	0.0130187
0.25256	0.0514118	0.000285587	0.0136675
0.265188	0.0506128	0.000264411	0.0143488
0.278447	0.0495506	0.000255398	0.0150643
0.292369	0.0499395	0.000241323	0.0158157
0.306988	0.0496355	0.000229725	0.0166047
0.322337	0.0487595	0.000218463	0.0174332
0.338454	0.0490372	0.000205044	0.0183033
0.355377	0.0485345	0.000196146	0.0192169
0.373146	0.0486744	0.000188145	0.0201763
0.391803	0.0480869	0.000177898	0.0211837
0.411393	0.0481634	0.000169084	0.0222416
0.431963	0.0477424	0.000159555	0.0233524
0.453561	0.0475632	0.000161464	0.0245189
0.476239	0.0475956	0.000161771	0.0257437
0.500051	0.0474659	0.000160791	0.0270298
0.525053	0.0470094	0.000161536	0.0283802
0.551306	0.0469137	0.00015762	0.0297983
0.578871	0.0466302	0.00015614	0.0312872
0.607815	0.0460619	0.000152685	0.0328507
0.638206	0.0459057	0.000152868	0.0344924
0.670116	0.0456383	0.000148998	0.0362162
0.703622	0.04553	0.00014728	0.0380262
0.738803	0.0449605	0.000145056	0.0399268
0.775743	0.0445513	0.000141093	0.0419224
0.81453	0.0437229	0.000175964	0.0440179
0.842198	0.042449	0.00031425	0.0455127
