# X 	 Y 	 E 	 DX

0.003075	491.52	3.56779	0.000774446
0.00322875	460.199	2.8403	0.00077627
0.00339019	427.988	2.54493	0.000778277
0.0035597	368.265	2.24487	0.000780484
0.00373768	332.364	1.79003	0.000782909
0.00392457	303.947	1.76557	0.000785575
0.00412079	271.617	1.26243	0.000788503
0.00432683	241.015	1.21806	0.000791719
0.00454318	211.621	0.995943	0.000795249
0.00477033	194.88	0.883888	0.000799123
0.00500885	172.375	0.740682	0.000803373
0.00525929	154.218	0.632839	0.000808032
0.00552226	139.212	0.54785	0.000813138
0.00579837	124.863	0.484661	0.00081873
0.00608829	109.637	0.407139	0.000824851
0.0063927	99.9251	0.342577	0.000831548
0.00671234	88.3597	0.309504	0.000838869
0.00704796	79.5001	0.256756	0.000846868
0.00740035	69.9123	0.225798	0.000855599
0.00777037	62.8057	0.190653	0.000865124
0.00815889	55.5036	0.170666	0.000875504
0.00856683	49.3924	0.141259	0.000886808
0.00899518	43.5104	0.126285	0.000899105
0.00944494	38.8343	0.10697	0.000912471
0.00991718	34.0054	0.0935866	0.000926984
0.010413	30.2281	0.0827123	0.000942725
0.0109337	26.7894	0.0707399	0.000959781
0.0114804	23.5091	0.0612205	0.00097824
0.0120544	20.9026	0.0547008	0.000998196
0.0126571	18.5497	0.0479061	0.00101975
0.01329	16.4526	0.0419791	0.00104299
0.0139545	14.559	0.0381908	0.00106802
0.0146522	12.8418	0.034998	0.00109497
0.0153848	11.4173	0.031343	0.00112392
0.016154	10.2385	0.0284296	0.001155
0.0169617	9.14542	0.0257754	0.00118833
0.0178098	8.25421	0.0233524	0.00122402
0.0187003	7.38134	0.0208322	0.00126219
0.0196353	6.62833	0.0189876	0.00130299
0.0206171	5.99421	0.0173584	0.00134654
0.021648	5.38513	0.0155931	0.00139297
0.0227304	4.84796	0.0142261	0.00144243
0.0238669	4.33401	0.0128458	0.00149506
0.0250602	3.91937	0.011744	0.00155103
0.0263132	3.5307	0.0106112	0.00161047
0.0276289	3.1765	0.00962656	0.00167356
0.0290103	2.83886	0.00874674	0.00174048
0.0304609	2.56098	0.00798246	0.00181138
0.0319839	2.28699	0.0072422	0.00188647
0.0335831	2.05917	0.00697834	0.00196594
0.0352623	1.84889	0.00702551	0.00204998
0.0370254	1.66997	0.00795927	0.00213881
0.0388766	1.48475	0.00872345	0.00223266
0.0408205	1.31858	0.00926853	0.00233175
0.0428615	1.20276	0.0102898	0.00243633
0.0444534	1.02309	0.0118465	0.00251824
