# X 	 Y 	 E 	 DX

0.003075	403.754	7.02615	0.000774446
0.00322875	574.575	12.4045	0.00077627
0.00339019	439.066	4.61404	0.000778277
0.0035597	332.82	7.29395	0.000780484
0.00373768	338.228	3.87399	0.000782909
0.00392457	249.818	7.005	0.000785575
0.00412079	286.281	2.523	0.000788503
0.00432683	248.609	4.74493	0.000791719
0.00454318	200.057	2.2534	0.000795249
0.00477033	205.713	2.12454	0.000799123
0.00500885	171.165	1.84189	0.000803373
0.00525929	150.339	1.45965	0.000808032
0.00552226	148.36	1.29912	0.000813138
0.00579837	123.463	1.32991	0.00081873
0.00608829	104.682	1.07997	0.000824851
0.0063927	106.323	0.759053	0.000831548
0.00671234	85.9559	0.790108	0.000838869
0.00704796	81.3042	0.582434	0.000846868
0.00740035	68.7816	0.577162	0.000855599
0.00777037	64.6966	0.463779	0.000865124
0.00815889	54.4011	0.424226	0.000875504
0.00856683	51.1371	0.339765	0.000886808
0.00899518	42.9092	0.337336	0.000899105
0.00944494	41.2695	0.257633	0.000912471
0.00991718	34.1945	0.224666	0.000926984
0.010413	30.4289	0.214749	0.000942725
0.0109337	27.7025	0.168031	0.000959781
0.0114804	24.0932	0.155539	0.00097824
0.0120544	21.0382	0.134289	0.000998196
0.0126571	18.5069	0.122064	0.00101975
0.01329	16.7677	0.103424	0.00104299
0.0139545	14.2208	0.118169	0.00106802
0.0146522	12.4171	0.11177	0.00109497
0.0153848	11.1113	0.0972831	0.00112392
0.016154	9.97517	0.0884137	0.001155
0.0169617	8.98372	0.0798854	0.00118833
0.0178098	8.12141	0.0722735	0.00122402
0.0187003	7.37534	0.060166	0.00126219
0.0196353	6.57238	0.0575622	0.00130299
0.0206171	5.8886	0.051066	0.00134654
0.021648	5.40901	0.0451511	0.00139297
0.0227304	4.8043	0.0415184	0.00144243
0.0238669	4.31496	0.0367835	0.00149506
0.0250602	3.90992	0.0347847	0.00155103
0.0263132	3.51487	0.0291457	0.00161047
0.0276289	3.21095	0.0274757	0.00167356
0.0290103	2.86382	0.0247164	0.00174048
0.0304609	2.60364	0.0228739	0.00181138
0.0319839	2.33796	0.0200228	0.00188647
0.0335831	2.10082	0.0184184	0.00196594
0.0352623	1.97354	0.0246917	0.00204998
0.0370254	0	0	0.00213881
0.0388766	0	0	0.00223266
0.0408205	0	0	0.00233175
0.0428615	0	0	0.00243633
0.0444534	0	0	0.00251824
