# X 	 Y 	 E 	 DX

0.035875	1.7437	0.0133436	0.00208079
0.0376688	0	0	0.00217136
0.0395522	0	0	0.00226703
0.0415298	1.1878	0.0101899	0.00236803
0.0436063	0	0	0.00247461
0.0457866	0.989528	0.00904934	0.00258703
0.0480759	0.947126	0.0124774	0.00270557
0.0504797	0.717694	0.00889044	0.00283051
0.0530037	0.706604	0.0124584	0.00296215
0.0556539	0.629448	0.00678589	0.00310082
0.0584366	0.603187	0.00661336	0.00324684
0.0613584	0.47293	0.00551451	0.00340057
0.0644263	0.447239	0.00928923	0.00356237
0.0676477	0.412009	0.00402744	0.00373264
0.07103	0.324451	0.00490555	0.00391179
0.0745815	0.321079	0.00582624	0.00410023
0.0783106	0.284285	0.00290091	0.00429843
0.0822262	0.235561	0.00340799	0.00450685
0.0863375	0.226074	0.00306632	0.00472599
0.0906543	0.195776	0.00291028	0.00495638
0.0951871	0.175037	0.00250031	0.00519856
0.0999464	0.163691	0.00232425	0.00545311
0.104944	0.142385	0.00222442	0.00572064
0.110191	0.134547	0.00188897	0.00600179
0.1157	0.117745	0.00176287	0.00629722
0.121485	0.108604	0.0016358	0.00660765
0.12756	0.0961969	0.0015709	0.0069338
0.133938	0.0858694	0.00152985	0.00727647
0.140635	0.0783586	0.0011765	0.00763645
0.147666	0.0714552	0.00122554	0.00801461
0.15505	0.066336	0.00116725	0.00841186
0.162802	0.0664556	0.00113033	0.00882913
0.170942	0.0611968	0.000974015	0.00926743
0.179489	0.0578423	0.000957603	0.00972778
0.188464	0.0576633	0.000922996	0.0102113
0.197887	0.0546703	0.000854665	0.0107191
0.207781	0.0527872	0.000803076	0.0112525
0.21817	0.0516147	0.000794774	0.0118126
0.229079	0.0509307	0.000702654	0.0124009
0.240533	0.050171	0.000718085	0.0130187
0.25256	0.0498941	0.000685884	0.0136675
0.265188	0.0496971	0.000593472	0.0143488
0.278447	0.0488244	0.000594514	0.0150643
0.292369	0.0488615	0.000567756	0.0158157
0.306988	0.0488987	0.000518342	0.0166047
0.322337	0.0481623	0.000505141	0.0174332
0.338454	0.0477576	0.000476816	0.0183033
0.355377	0.0476239	0.000469365	0.0192169
0.373146	0.0471404	0.000438542	0.0201763
0.391803	0.0474793	0.000425227	0.0211837
0.411393	0.0481882	0.000397445	0.0222416
0.431963	0.0469595	0.000370652	0.0233524
0.453561	0.0464323	0.000357031	0.0245189
0.476239	0.0468217	0.000336274	0.0257437
0.500051	0.0465041	0.000323986	0.0270298
0.525053	0.0460021	0.000315172	0.0283802
0.551306	0.0464334	0.000294057	0.0297983
0.578871	0.0467852	0.000289691	0.0312872
0.607815	0.0455104	0.000267771	0.0328507
0.638206	0.0451574	0.000263955	0.0344924
0.670116	0.0451715	0.000245444	0.0362162
0.703622	0.0447683	0.000237653	0.0380262
0.738803	0.0443848	0.000226507	0.0399268
0.775743	0.0440822	0.00021901	0.0419224
0.81453	0.044054	0.000451119	0.0440179
0.842198	0	0	0.0455127
