# X 	 Y 	 E 	 DX

0.003075	510.002	19.5284	0.000774446
0.00322875	408.214	4.81932	0.00077627
0.00339019	364.982	7.73842	0.000778277
0.0035597	358.107	4.56174	0.000780484
0.00373768	308.955	4.06119	0.000782909
0.00392457	296.001	6.73209	0.000785575
0.00412079	260.426	2.82111	0.000788503
0.00432683	230.423	2.69869	0.000791719
0.00454318	219.792	2.72545	0.000795249
0.00477033	194.261	2.09584	0.000799123
0.00500885	171.518	1.64071	0.000803373
0.00525929	150.882	1.45125	0.000808032
0.00552226	134.055	1.36602	0.000813138
0.00579837	120.9	1.13142	0.00081873
0.00608829	106.759	0.962905	0.000824851
0.0063927	95.4522	0.80799	0.000831548
0.00671234	85.5679	0.772852	0.000838869
0.00704796	77.3626	0.685967	0.000846868
0.00740035	69.5612	0.519133	0.000855599
0.00777037	61.7977	0.437972	0.000865124
0.00815889	54.5654	0.433542	0.000875504
0.00856683	48.3132	0.331245	0.000886808
0.00899518	42.704	0.311793	0.000899105
0.00944494	37.5905	0.254502	0.000912471
0.00991718	33.7936	0.240146	0.000926984
0.010413	29.9452	0.193132	0.000942725
0.0109337	26.277	0.171177	0.000959781
0.0114804	23.0521	0.145584	0.00097824
0.0120544	20.4843	0.132941	0.000998196
0.0126571	18.3112	0.117399	0.00101975
0.01329	16.2967	0.103829	0.00104299
0.0139545	14.43	0.0881652	0.00106802
0.0146522	12.756	0.0791653	0.00109497
0.0153848	11.408	0.0699317	0.00112392
0.016154	10.2915	0.0637211	0.001155
0.0169617	9.18695	0.0559289	0.00118833
0.0178098	8.27095	0.0504495	0.00122402
0.0187003	7.38919	0.0446035	0.00126219
0.0196353	6.69273	0.0398246	0.00130299
0.0206171	6.01444	0.0368858	0.00134654
0.021648	5.42	0.032266	0.00139297
0.0227304	4.9	0.0292918	0.00144243
0.0238669	4.35246	0.026331	0.00149506
0.0250602	3.97153	0.0237829	0.00155103
0.0263132	3.5431	0.0216476	0.00161047
0.0276289	3.17282	0.0190715	0.00167356
0.0290103	2.83406	0.0172525	0.00174048
0.0304609	2.56819	0.0156856	0.00181138
0.0319839	2.26195	0.0142047	0.00188647
0.0335831	2.041	0.0164298	0.00196594
0.0352623	1.79682	0.01654	0.00204998
0.0370254	1.69247	0.0435975	0.00213881
0.0388766	0	0	0.00223266
0.0408205	0	0	0.00233175
0.0428615	0	0	0.00243633
0.0444534	0	0	0.00251824
