# X 	 Y 	 E 	 DX

0.035875	1.7437	0.0133436	0.00208079
0.0376688	1.59951	0.0126076	0.00217136
0.0395522	1.37997	0.0160963	0.00226703
0.0415298	1.20446	0.00853117	0.00236803
0.0436063	1.07586	0.00897718	0.00247461
0.0457866	0.968223	0.00668668	0.00258703
0.0480759	0.90301	0.00751134	0.00270557
0.0504797	0.781467	0.00498238	0.00283051
0.0530037	0.689806	0.00478888	0.00296215
0.0556539	0.627594	0.00426432	0.00310082
0.0584366	0.560786	0.00327392	0.00324684
0.0613584	0.488556	0.00312585	0.00340057
0.0644263	0.436908	0.00293968	0.00356237
0.0676477	0.391317	0.00229943	0.00373264
0.07103	0.344267	0.00220988	0.00391179
0.0745815	0.315894	0.00213441	0.00410023
0.0783106	0.27866	0.00165529	0.00429843
0.0822262	0.242855	0.00152076	0.00450685
0.0863375	0.222141	0.00147469	0.00472599
0.0906543	0.194182	0.00128675	0.00495638
0.0951871	0.173132	0.00117737	0.00519856
0.0999464	0.160111	0.00106181	0.00545311
0.104944	0.142426	0.000989407	0.00572064
0.110191	0.127656	0.000861959	0.00600179
0.1157	0.115341	0.000823375	0.00629722
0.121485	0.105154	0.000745213	0.00660765
0.12756	0.0953645	0.000681947	0.0069338
0.133938	0.085976	0.00064129	0.00727647
0.140635	0.0787764	0.00057198	0.00763645
0.147666	0.0722281	0.000548729	0.00801461
0.15505	0.0667048	0.000493965	0.00841186
0.162802	0.0639014	0.000475071	0.00882913
0.170942	0.0596316	0.000439484	0.00926743
0.179489	0.0572629	0.000408721	0.00972778
0.188464	0.0552454	0.000391551	0.0102113
0.197887	0.0540632	0.000363282	0.0107191
0.207781	0.0523924	0.000348384	0.0112525
0.21817	0.0512414	0.000323896	0.0118126
0.229079	0.0504788	0.000304981	0.0124009
0.240533	0.05007	0.000298695	0.0130187
0.25256	0.0501607	0.000278637	0.0136675
0.265188	0.0493812	0.000257977	0.0143488
0.278447	0.0483448	0.000249183	0.0150643
0.292369	0.0487242	0.000235451	0.0158157
0.306988	0.0484276	0.000224134	0.0166047
0.322337	0.047573	0.000213147	0.0174332
0.338454	0.0478439	0.000200054	0.0183033
0.355377	0.0473534	0.000191373	0.0192169
0.373146	0.0474899	0.000183566	0.0201763
0.391803	0.0469168	0.000173569	0.0211837
0.411393	0.0469913	0.00016497	0.0222416
0.431963	0.0465806	0.000155672	0.0233524
0.453561	0.0464057	0.000157535	0.0245189
0.476239	0.0464374	0.000157834	0.0257437
0.500051	0.0463109	0.000156879	0.0270298
0.525053	0.0458654	0.000157605	0.0283802
0.551306	0.045772	0.000153784	0.0297983
0.578871	0.0454955	0.000152341	0.0312872
0.607815	0.044941	0.00014897	0.0328507
0.638206	0.0447886	0.000149148	0.0344924
0.670116	0.0445277	0.000145372	0.0362162
0.703622	0.044422	0.000143696	0.0380262
0.738803	0.0438664	0.000141527	0.0399268
0.775743	0.0434671	0.00013766	0.0419224
0.81453	0.0426589	0.000171682	0.0440179
0.842198	0.041416	0.000306603	0.0455127
